"student_id","test_grade","hs_diploma_grade","grade_weighted_avg","exams_taken","total_cfu","years","class"
"A",18,80,27.0,10,90,4,"positive"
"B",13,67,23.0,10,96,4,"negative"
"C",18,78,25.0,7,69,4,"negative"
"D",14,66,23.0,7,66,2,"negative"
"E",16,82,28.0,2,24,2,"negative"
"F",16,78,24.0,8,78,2,"negative"
"G",20,100,27.0,12,108,3,"positive"
"H",20,76,27.0,11,99,2,"positive"
"I",23,70,24.0,6,48,2,"negative"
"J",17,69,23.0,10,87,2,"negative"
"K",19,100,26.0,13,117,2,"positive"
"L",17,80,29.0,13,117,2,"positive"
"M",15,91,27.0,6,60,2,"negative"
"N",16,81,23.0,12,108,2,"positive"
"O",16,63,23.0,8,75,2,"negative"
"P",17,89,25.0,12,108,2,"positive"
"Q",20,80,24.0,10,90,2,"negative"
"R",22,81,30.0,12,108,2,"positive"
"S",16,90,26.0,13,117,2,"positive"
"T",22,78,24.0,8,75,2,"negative"
"U",18,79,23.0,10,87,2,"negative"
"V",14,87,23.0,5,57,2,"negative"
"W",16,100,29.0,13,117,2,"positive"
"X",12,70,23.0,10,90,2,"negative"
"Y",17,86,26.0,11,102,2,"positive"
"Z",19,81,27.0,13,117,2,"positive"
