"","B006800","B006801","B006802","B006803","B006804","B006807","B006808","B006813","B006818","B015325","B018756","B018757","B018760"
"B006800",1,0.444895858197789,0.40275415037424,0.499717713016101,0.561080236259126,0.511972875608353,-0.0353176899989949,0.645746894220366,0.617360488629664,0.431228302334969,0.574015220214912,0.593434162374509,0.812487287619946
"B006801",0.444895858197789,1,0.278844135149577,0.651366920789239,0.471481406160414,0.531370979792189,0.173186095199062,0.520365639914847,0.5885086279422,0.597036568384695,0.320778821939952,0.486749232447682,0.602159791193317
"B006802",0.40275415037424,0.278844135149577,1,0.395509910606736,0.0902407116455376,0.642904689829803,0.0748854056479651,0.532584456675237,0.55243768780614,0.491342327570373,0.544704675137153,0.373525097006276,0.47452327983729
"B006803",0.499717713016101,0.651366920789239,0.395509910606736,1,0.294454808245402,0.475011405381448,0.0501431411458589,0.55899018096778,0.762340615049755,0.512510176238076,0.383707394122464,0.474581283160555,0.454838197787379
"B006804",0.561080236259126,0.471481406160414,0.0902407116455376,0.294454808245402,1,0.231984454089887,0.26244807496891,0.366665099903168,0.389202551119213,0.356843836386022,0.507782519966442,0.369226624419575,0.619865221332367
"B006807",0.511972875608353,0.531370979792189,0.642904689829803,0.475011405381448,0.231984454089887,1,0.0942214866010101,0.664906832091769,0.465162481887909,0.464684005426182,0.386888187630432,0.317822690058385,0.685613231930028
"B006808",-0.0353176899989949,0.173186095199062,0.0748854056479651,0.0501431411458589,0.26244807496891,0.0942214866010101,1,0.159630092559232,0.147218316750707,0.350930203025199,0.0553053974890893,-0.0933390028740931,0.212004745829638
"B006813",0.645746894220366,0.520365639914847,0.532584456675237,0.55899018096778,0.366665099903168,0.664906832091769,0.159630092559232,1,0.53666215112958,0.451234338272177,0.532786764727521,0.637085365934602,0.758657822639471
"B006818",0.617360488629664,0.5885086279422,0.55243768780614,0.762340615049755,0.389202551119213,0.465162481887909,0.147218316750707,0.53666215112958,1,0.54217450256145,0.314785725301441,0.490551433702003,0.597251616716117
"B015325",0.431228302334969,0.597036568384695,0.491342327570373,0.512510176238076,0.356843836386022,0.464684005426182,0.350930203025199,0.451234338272177,0.54217450256145,1,0.419537565330394,0.393693935384996,0.576152128615421
"B018756",0.574015220214912,0.320778821939952,0.544704675137153,0.383707394122464,0.507782519966442,0.386888187630432,0.0553053974890893,0.532786764727521,0.314785725301441,0.419537565330394,1,0.362250619272232,0.474714735040306
"B018757",0.593434162374509,0.486749232447682,0.373525097006276,0.474581283160555,0.369226624419575,0.317822690058385,-0.0933390028740931,0.637085365934602,0.490551433702003,0.393693935384996,0.362250619272232,1,0.607600221512984
"B018760",0.812487287619946,0.602159791193317,0.47452327983729,0.454838197787379,0.619865221332367,0.685613231930028,0.212004745829638,0.758657822639471,0.597251616716117,0.576152128615421,0.474714735040306,0.607600221512984,1
